카테고리,세부,브랜드,제품명,태그,용량/가격,별점,리뷰수,이미지,제품링크
스킨/토너,워터토너,웰라쥬,리얼 히알루로닉 100 토너,"#보습, #수분공급, #저자극, #피부진정","200ml / 20,000원",4.59,리뷰 977,https://dn5hzapyfrpio.cloudfront.net/product/4f0/4f099f10-4086-11ee-9736-9b07020e79ca.jpeg,https://www.glowpick.com/products/167428
스킨/토너,워터토너,닥터릴리프,디에이씨투 알래스카 엘엠더블유 히알루로닉 토너,"#미스트토너, #보습, #수분공급, #저자극, #피부결정돈, #피부진정, #피지조절","205ml / 39,000원",4.62,리뷰 292,https://dn5hzapyfrpio.cloudfront.net/product/760/760a86d0-5617-11eb-aec2-430bda4ab232.jpeg,https://www.glowpick.com/products/142713
스킨/토너,워터토너,에스트라,에이시카365 수분 진정 결 토너,"#수분공급, #약산성, #저자극, #피부진정","250ml / 30,000원",4.61,리뷰 547,https://dn5hzapyfrpio.cloudfront.net/product/d4c/d4c68260-8648-11ed-a933-9b1327ab78fd.jpeg,https://www.glowpick.com/products/161713
스킨/토너,워터토너,헤브블루,살몬 케어링 센텔라 토너,"#수분공급, #약산성, #유수분조절, #저자극, #피부결정돈, #피부진정","200ml / 41,900원",4.59,리뷰 355,https://dn5hzapyfrpio.cloudfront.net/product/501/501fa390-7858-11ee-8a7d-353c7ce89669.jpeg,https://www.glowpick.com/products/160700
스킨/토너,워터토너,샤이샤이샤이,카페인 샷 토닝 부스터,"#각질케어, #미백, #수분공급, #저자극, #피부결정돈","200ml / 26,000원",4.61,리뷰 76,https://dn5hzapyfrpio.cloudfront.net/product/3d4/3d432150-6693-11ef-8076-ab166cf84ee5.jpeg,https://www.glowpick.com/products/175265
스킨/토너,워터토너,누텍스처,마일드 엑스폴리에이팅 토너,"#각질케어, #보습, #수분공급, #약산성, #저자극, #피부진정, #피부활력","190ml / 29,000원",4.53,리뷰 398,https://dn5hzapyfrpio.cloudfront.net/product/26b/26b102c0-67f4-11ee-b558-09ad218fd809.jpeg,https://www.glowpick.com/products/163155
스킨/토너,워터토너,브링그린,티트리 시카 수딩 토너,"#각질케어, #비건뷰티, #수분공급, #저자극, #쿨링, #클린뷰티, #피부결정돈, #피부진정","500ml / 27,000원",4.53,리뷰 624,https://dn5hzapyfrpio.cloudfront.net/product/513/513523c0-0500-11ee-b6ae-61335178115c.jpeg,https://www.glowpick.com/products/165850
스킨/토너,워터토너,마몽드,플로라 글로우 로즈 리퀴드 마스크,"#각질케어, #비건뷰티, #수분공급, #윤기, #저자극, #클린뷰티, #피부결정돈","80ml / 30,000원",4.58,리뷰 261,https://dn5hzapyfrpio.cloudfront.net/product/9bb/9bb23750-ebda-11ee-a9c0-c7566b92fd5e.jpeg,https://www.glowpick.com/products/172012
스킨/토너,워터토너,낫씨백,원 샷 케이프 알로에,"#미스트토너, #보습, #비건뷰티, #수분공급, #저자극, #친환경, #크루얼티프리, #클린뷰티, #트러블케어, #피부진정","250ml / 19,000원",4.46,리뷰 770,https://dn5hzapyfrpio.cloudfront.net/product/58c/58cbf7b0-5640-11eb-a50a-9bc4f44a6b5d.jpeg,https://www.glowpick.com/products/141411
스킨/토너,워터토너,더랩 바이 블랑두,올리고 히알루론산 딥 토너,"#각질케어, #보습, #비건뷰티, #수분공급, #저자극, #피부결정돈, #피부진정","200ml / 23,000원",4.6,리뷰 98,https://dn5hzapyfrpio.cloudfront.net/product/4a8/4a8c9c10-4560-11ee-bb70-8575ef8eb24a.jpeg,https://www.glowpick.com/products/167558
